Video ID,Hinglish Text,Hindi Text,Label,Start time,End time,
e1_s1_u1,"Newton ne kaha tha:
A body will remain at rest, matlab aaram se zindagi bina kisi change ke ek direction mein peacefully chalti rahegi, unless and until koi external force acts on it.",नेव्तोन ने कहा था अ बॉडी विल रेमें ात रेस्ट मतलब आराम से ज़िन्दगी बिना किसी चेंज के एक डिरेक्क्शन में पैसफुल्ली चलती रहेगी उनलेस एंड अंटिल ान एक्सटर्नल फाॅर्स एक्ट्स ों एट |,inform,00:29,00:44,
e1_s1_u2,"Newton ne yeh bhi kaha tha:
For every action, there is an equal and opposite reaction.",नेव्तोन ने यह भी कहा था फॉर एव्री एक्शन देर इस इक्वल एंड अपोजिट रिएक्शन।,inform,01:19,01:25,
e1_s2_u1,kya hai?,क्या है?,complain,01:33,01:35,
e1_s2_u2,Chudail dikh gayi.,चुड़ैल दिख गयी |,joke,01:35,01:36,
e1_s2_u3,"Tu toh hostel jaake phir aane wali thi na, matlab achhi baat hai par itni jaldi kyon?","तू तोह हॉस्टल जाके फिर आने वाली थी ना , मतलब अछि बात है पर इतनी जल्दी क्यों?",taunt,01:36,01:40,
e1_s2_u4,"Sagi behen se kab, kyun, kahan nahi poocha jaata.","सगी बेहेन से कब, क्यों , कहाँ नहीं पूछा जाता।",advise,01:41,01:43,
e1_s2_u5,"Use kehte hain hi, hello, apna ghar jaisa hi samjho 
","उसे कहते है हाय , हेलो, अपना घर जैसा ही समझो।",joke,01:44,01:46,
e1_s2_u6,"Ok, hi...","ओके, हाय...",taunt,01:46,01:47,
e1_s2_u7,Arey hi gaya tel lene.,अरे हाय गया तेल लेने।,joke,01:48,01:50,
e1_s2_u8,"Doormat par pair rakh ke, apne pair pochh ke please.","डोरमैट पर पेअर रख के, अपने पेअर पहुँच के प्लीज।",advise,01:51,01:56,
e1_s2_u9,Hi... tu itni bheegi hui kyu hai? chhata kahan hai?,हाय... तू इतनी भीगी हुई क्यों है? छाता कहाँ पर है?,care,02:01,02:05,
e1_s2_u10,"Arey, Bombay mein kaun ullu chhata leke aata hai? Bombay mein toh log chaar paise, do aankhein aur ek sapna leke aate hain.","अरि , बॉम्बे में कोण उल्लू छाता लेके आता है? बॉम्बे में तोह लोग चार पैसे, दो आंखे और एक सपना लेके आते है।",joke,02:05,02:11,
e1_s2_u11,Bahut badhiya,बहुत बढ़िया,taunt,02:11,02:12,
e1_s2_u12,"Achha yahin par ruk, main abhi aa rahi hoon. Hilna mat.",अच्छा यहीं पर रुक मई अभी आ रही हूँ। हिलना मत।,advise,02:13,02:15,
e1_s2_u13,"Arey, swagat satkar, maana mere ghar mein aane se ghar ki raunak badh gayi hai, ghar ghar lagne laga, par aarti and all ki kya zarurat hai.","अरे, स्वागत सतकार, माना मेरे घर में आने से घर की रौनक बढ़ गयी है , घर घर लगने लगा पर आरती एंड आल की क्या जरुरत है।",joke,02:15,02:25,
e1_s2_u14,Kahan hai? Kahan hai? Kahan hai? Kahan hai? Kahan hai? Kahan hai? Kahan hai? Ladke kahan hain?,कहाँ है? कहाँ है? कहाँ है? कहाँ है? कहाँ है? कहाँ है? कहाँ है? लड़के कहाँ हैं?,emphasize,02:40,02:54,
e1_s2_u15,Nahi hai? Kamaal hai. Kya karti ho poora din ghar pe?,नहीं है? कमाल है। क्या करती हो पूरा दिन घर पे ?,doubt,02:55,03:02,
e1_s2_u16,"Startup hai, kaam karti hoon, paise kamati hoon.","स्टार्टअप है, काम करती हूँ, पैसे कमेटी हूँ।",inform,03:04,03:07,
e1_s2_u17,"Woh toh doosron ke liye na, khud ke liye kya karti ho?",वोह तोह दूसरों के लिए न खुद के लिए क्या करती हो ?,doubt,03:07,03:12,
e1_s2_u18,Hostel mein kya problem thi?,हॉस्टल में क्या प्रॉब्लम थी?,other,03:12,03:14,
e1_s2_u19,Pata hai hostel mein na dress code tha. Can you believe it?,पता है हॉस्टल में न ड्रेस कोड था। कैन यू बिलीव इट?,complain,03:14,03:17,
e1_s2_u20,"Toh theek hai na, try kar leti.","तोह ठीक है ना, टॉय कर लेती।",taunt,03:17,03:20,
e1_s2_u21,Theek hai?,ठीक है?,oppose,03:20,03:21,
e1_s2_u22,Han,हाँ,acknowledge,03:21,03:22,
e1_s2_u23,Achha chalo maan liya theek hai. But canteen wale bhaiya bhi hot nahi the na aur saat baje ka in-time. Saat baje agar room mein pahunch gayi na toh Mumbai ki nightlife bura maan jaati hai.,अच्छा चलो मान लिया ठीक है। बूत कैंटीन वाले भईया भी हॉट नहीं थे न एंड सात बजे का इनटाइम। सात बजे अगर रूम में पहुँच गयी ना तोह मुंबई की नाईट लाइफ बुरा मान जाती है।,joke,03:22,03:31,
e1_s2_u24,"Aaye haye. Mughal-e-Azam bhi coloured hogi, tere kapde kyun Kota Factory hain?",आये हाय। मुगले आज़म भी कलर्ड होगी तेरे कपड़े क्यों कोटा फैक्ट्री है ?,taunt,03:31,03:38,
e1_s2_u25,These are called formals and black makes me look thin.,डीएस आर कॉल्ड फॉर्मल्स एंड ब्लैक मैक्स मी लुक थिन।,explain,03:38,03:42,
e1_s2_u26,"Periods chal rahe hain tere? Toh tu train se kyun aayi, main flight tickets book kara deti.","पीरियड्स चल रहे है तेरे? तोह तू ट्रैन से क्यों आयी, मई फ्लाइट टिकट्स बुक करा देती।",care,03:43,03:48,
e1_s2_u27,Flight badi boring hoti hai. Aur baadal dekhne mein na sirf shuru ke dus minute mein mazza aata hai.,फ्लाइट बड़ी बोरिंग होती है। और बादल देखने में न सिर्फ सुरु के दस मिनट में मज़्ज़ा आता है।,refuse,03:48,03:52,
e1_s2_u28,Arey tu jaldi pahunch jaati na.,अरे तू जल्दी पहुँच जाती ना।,care,03:52,03:54,
e1_s2_u29,Meri life mein koi jaldi nahi hai.,मेरी लाइफ में कोई जल्दी नहीं है।,joke,03:54,03:56,
e1_s2_u30,"Mahi, tere periods chal rahe hain aur tera flow hamesha se kaafi heavy raha hai aur trains ke washroom itne unhygienic hote hain. It gets uncomfortable. Main isliye keh rahi hoon.","माही, तेरे पीरियड्स चल रहे है एंड तेरा फ्लो हमेशा से काफी हैवी रहा है और ट्रेन्स के वाशरूम इतने अनहायजनिक होते है। इट गेट्स अनकमफ्टेबल। मई इसलिए कह रही हूँ।",care,03:56,04:04,
e1_s2_u31,"TT bhi yahi keh rahi thi. Apna software upgrade karo aunty, market mein kaafi sahi products aa gaye hain, if you know where to look.","टीटी भी यही कह रही थी। अपना सॉफ्टवेयर अपग्रेड करो आंटी, मार्किट में काफी सही प्रोडक्ट्स आ गए है, इफ यू नो वेयर तू लुक।",taunt,04:04,04:12,
e1_s2_u32,"As long as tumhe marketing aur shopping mein difference samajh aaye, then why not.",अस लॉन्ग अस तुम्हे मार्केटिंग एंड शॉपिंग में डिफरेंस समझ आये देन वये नॉट।,taunt,04:25,04:31,
e1_s2_u33,"Ek minute ruk, woh teri side hai, yeh meri side hai","एक मिनट रुक, वोह तेरी साइड है यह मेरी साइड है।",inform,04:31.1,04:34.2,
e1_s2_u34,"Arey.. kya teri meri side, ab hum do jism ek wardrobe hain","अरे.. क्या तेरी मेरी साइड, अब हम दो जिस्म एक वार्डरॉब है।",joke,04:34.2,04:38.6,
e1_s2_u35,"Aisa marungi na, jism se rooh juda ho jaayegi.",ऐसा मरूंगी ना जिस्म से रूह जुदा हो जाएगी।,taunt,04:38.6,04:41.9,
e1_s2_u36,Aur ab milke na tumhara PG dhoondhenge,और अब मिलके ना तुम्हारा पीजी ढूंढेंगे।,inform,04:42.2,04:45.2,
e1_s2_u37,Subah subah,सुबह सुबह,agree,04:45.2,04:51.6,
e1_s2_u38,Toh aur kab?,तोह और कब ?,doubt,04:52.0,04:53.6,
e1_s2_u39,"Arey mujhe laga shaam, but mummy papa se door kya subah kya shaam. Arey tu parde warde band kar na, mood bana thoda.","अरे मुझे लगा शाम बट मम्मी पापा से दूर क्या सुबह क्या शाम। अरे तू परदे वरदे बंद कर ना, मूड बना थोड़ा।",joke,04:53.7,05:01.2,
e1_s2_u40,Arey yeh toh..,अरे यह तो..,complain,05:01.3,05:03.3,
e1_s2_u41,Kadha hai.,काढ़ा है।,inform,05:03.5,05:04.2,
e1_s2_u42,Mujhe laga…,मुझे लगा,other,05:04.1,05:04.8,
e1_s2_u43,"Pata hai. 19 saal ki hai tu, pehle kuch aisa kar to le jiska gham mitaya jaaye.",पता है। १९ साल की है तू पहले कुछ ऐसा कर तो ले जिसका गम मिटाया जाये।,taunt,05:05.0,05:09.9,
e1_s2_u44,Achha weekend par kya kar rahe hain hum?,अच्छा वीकेंड पर क्या कर रहे है हम ?,other,05:10.5,05:13.3,
e1_s2_u45,Kapde dhoyenge.,कपड़े धोयेंगे।,plan,05:13.3,05:14.0,
e1_s2_u46,Arey yaar…,अरे यार,complain,05:14.2,05:16.9,
e1_s3_u1,Parathe? Itni door se parathe khane aayi hoon?,पराठे? इतनी दूर से पराठे खाने आयी हूँ?,complain,05:17.0,05:24.4,
e1_s3_u2,Kuch aur order karte hain na jo Indore mein nahi milta.,कुछ और ऑर्डर करते है ना जो इंदौर में नहीं मिलता।,plan,05:24.4,05:27.4,
e1_s3_u3,"Main bahar ka nahi khati, I cook for myself.","मे बहार का नहीं खाती, आई कुक फॉर माय सेल्फ।",inform,05:27.3,05:30.8,
e1_s3_u4,"Haan, baad mein pakana, abhi butter daal chal.","हां, बाद में पकाना, अभी बटर दाल चल।",joke,05:30.4,05:34.4,
e1_s3_u5,"Arey apne aap ko roko mat aunty, behne do, kyunki ghar ka butter butter nahi, better butter hota hai.",अरे अपने आप को रोको मत आंटी बहेने दो क्योंकि घर का बटर बटर नहीं बेटर बटर होता है।,joke,05:34.2,05:49.0,
e1_s3_u6,"I think I can be a comedian. Samjha na, woh school mein tha na “Betty bought some butter.""",आई थिंक आई कैन बी अ कॉमेडियन। समझा ना वो स्कूल में था ना बेटी बोटर बाउट सम बटर।,joke,05:48.5,05:55.5,
e1_s3_u7,Aage ka kya socha hai?,आगे का क्या सोचा है?,other,05:57.9,06:00.2,
e1_s3_u8,"Arey ja rahi hoon haath dhone, peeche hi pad gayi.","अरे जा रही हूँ हाथ धोने, पीछे ही पढ़ गई।",complain,06:00.2,06:03.0,
e1_s3_u9,Arey future ka.,अरे फ्यूचर का।,explain,06:02.9,06:04.6,
e1_s3_u10,Oh! Future ka future mein sochenge.,ओह ! फ्यूचर का फ्यूचर में सोचेंगे।,joke,06:04.4,06:08.8,
e1_s3_u11,"Filhaal toh I just want to explore. I want to make out with every course, date every class, tab tak jab tak I don’t find the course jisse mummy papa se milaya ja sake kehke yeh rahi aapki beti ki hone wali degree.","फ़िलहाल तो आई जस्ट वांट टू एक्स्प्लोर। आई वांट तो मेक आउट विद एवरी कोर्स, डेट एवरी क्लास, तब तक जब तक आई डोंट फाइंड दी कोर्स, जिससे मम्मी पापा से मिलाया जा सके कहके यह रही आपकी बेटी की होने वाली डिग्री।",explain,06:08.6,06:22.8,
e1_s3_u12,"Abhi filhaal toh drama society mein maza aa raha hai, enroll kar diya.","अभी फ़िलहाल तो ड्रामा सोसाइटी में मजा आ रहा है , एनरोल कर दिया।",inform,06:23.1,06:27.0,
e1_s3_u13,Aur rehne ka kya socha hai? College ke aas paas toh kaafi PG honge na?,और रहने का क्या सोचा है? कॉलेज के आस पास तोह काफी पीजी होंगे ना?,other,06:26.7,06:32.5,
e1_s3_u14,Plate hi chaat le.,प्लेट ही चाट ले।,taunt,06:32.2,06:36.7,
e1_s3_u15,Good idea!,गुड आईडिया!,joke,06:36.8,06:38.1,
e1_s3_u16,"Mahi, dekh tumhari harkaton ko dekh ke bilkul nahi lag raha ki tum agle hafte college shuru karne ja rahi ho. Tu cheating karke pass hui hai na.","माहि, देख तुम्हारी हरकतों को देख के बिलकुल नहीं लग रहा की तुम अगले हफ्ते कॉलेज शुरू करने जा रही हो। तू चीटिंग करके पास हुई है ना।",taunt,06:37.8,06:46.6,
e1_s3_u17,"Aur nahi toh kya, arey kya maza aata hai cheating mein? Pata hai aise dil dhak-dhak karta hai jaise you are doing something wrong.","और नहीं तो क्या, अरे क्या मज़ा आता है चीटिंग इन में ? पता है ऐसे दिल धक - धक करता है जैसे यू आर डूइंग समथिंग रॉंग।",joke,06:46.0,06:51.9,
e1_s3_u18,You are doing something wrong.,यू आर दोंग समथिंग रॉंग।,criticize,06:52.0,06:53.4,
e1_s3_u19,"Gossip layi hoon, sun le. Guess who else cheated?",गॉसिप लायी हूँ सुनले। गेस हु एल्स चीटेड ?,inform,06:53.7,06:56.8,
e1_s3_u20,Kaun?,कौन?,other,06:56.4,06:57.5,
e1_s3_u21,"Wahi hamari perfect ideal ladki representation, jiski wajah se har Monday test ke baad tumhe chappale padti thi.","वही हमारी परफेक्ट आइडियल लड़की रिप्रजेंटेशन, जिसकी वजह से हर मंडे टेस्ट के बाद तुम्हे चपले पढ़ती थी।",inform,06:57.5,07:04.1,
e1_s3_u22,What! Kanika cheated on Ranjan?,व्हॉट ! कनिका चीटेड ओन रंजन ?,confirm,07:04.1,07:07.7,
e1_s3_u23,"Apparently they were seeing a marriage counsellor, toh unke marriage counsellor ne unhe kaha ki love yourself, put yourself first.","अपेरेंटली दे वर सीइंग अ मैरिज कॉउंसलर , तो उनके मैरिज कॉउंसलर ने उन्हें कहा की लव योरसेल्फ, पुट योरसेल्फ फर्स्ट।",explain,07:07.7,07:15.6,
e1_s3_u24,Fir?,फिर?,other,07:15.2,07:16.1,
e1_s3_u25,"So,they put themselves first and slept with someone else.",सो देय पुट देम्सेल्फ़् फ़स्र्ट एंड स्लेप्त विद समवन एल्स,joke,07:16.1,07:19.5,
e1_s3_u26,Phir kya hua?,फिर क्या हुआ?,other,07:19.5,07:22.0,
e1_s3_u27,"Ab batao kisi ka ghar toot raha hai, inhe gossip chahiye. Shallow.",अब बताओ किसी का घर टूट रहा है इन्हे गॉसिप चाहिए। शैलो।,taunt,07:21.9,07:28.5,
e1_s3_u28,Ye ghar kyu basa rahi hai? Do din mein vidaai hai teri.,ये घर क्यों बसा रही है? दो दिन में विदाई है तेरी।,joke,07:38.4,07:43.3,
e1_s3_u29,"About that, main soch rahi thi ki tere paas itni jagah hai na, and considering how lonely you are, instead of having 12 cats at some point you can have me. Main aaun?","अबाउट देट, मै सोच रही थी की तेरे पास इतनी जगह है हैना एंड कंसिडरिंग हाउ लोनली यू आर इंस्टेड ऑफ़ हैविंग १२ कैट्स एट सम पॉइंट यू कैन हैव मी। मी आऊं।",joke,07:43.0,07:58.5,
e1_s3_u30,I am a dog person.,आई ऍम अ डॉग पर्सन।,joke,07:58.5,07:59.7,
e1_s3_u31,You are a lonely person. Huh.,यू अर अ लोनली पर्सन। हह।,taunt,07:59.6,08:02.5,
